username,followers_count,likes_sum,reposts_sum,views_sum
ActuallyNPH,20800508,1655,221,704789
CNNEE,20766184,1068,366,156085
ImRaina,20741404,104172,8186,950839
coldplay,20678727,26653,3749,1725333
VancityReynolds,20658428,271956,17326,9869411
ImranKhanPTI,20651435,343162,185160,7974212
MichelleObama,20612710,307821,25779,7544851
NetflixLAT,20529969,7150,796,1570969
yadavakhilesh,20434131,22204,5419,287411
Forbes,20325300,361,81,123263
AlArabiya_Brk,20144091,223,35,189955
FCBarcelona_es,20114055,48140,1798,1101878
aliaa08,20077749,16960,1040,1444862
BleacherReport,20016594,36555,2463,1298197
KDTrey5,19925090,676033,38989,76542348
Spotify,19922220,9033,1671,950747
Fortnite,19693560,21367,1685,3405024
AnupamPKher,19578102,34338,2715,568014
Marvel,19513399,23724,3367,1056390
RTErdogan,19437719,104314,31585,2199579
washingtonpost,19347640,945,251,351734
MoSalah,19200953,1156838,173326,59533108
Eminem,19118403,61252,7694,3332179
KapilSharmaK9,19037762,24857,1189,1790736
danieltosh,18956203,2711,135,452775
SergioRamos,18822498,211596,11829,8675424
Anitta,18794986,257270,41753,12596463
SnoopDogg,18714912,47153,3921,1261055
TIME,18514719,1864,687,404020
pitbull,18499875,123924,18979,9112598
10Ronaldinho,18266602,120284,8801,2140726
Zendaya,18252758,0,0,0
ABC,18127313,2957,520,576992
arigameplays,18042007,78562,2386,1798678
MariahCarey,17878371,113821,15691,3104667
Pontifex,17763825,323643,50139,6733718
ManCity,17721095,58211,5159,1452931
StephenCurry30,17568963,143009,13699,3527867
TuckerCarlson,17538635,179306,48407,18726720
3gerardpique,17536050,401252,54557,22292500
SonuSood,17497833,92313,9964,2115335
realmadriden,17199925,7882,591,313590
ndtv,17195352,25,11,7164
davido,17123156,73571,10997,1280630
IbaiLlanos,17068481,347461,8116,20149332
ricky_martin,16878270,17844,1299,557660
GarethBale11,16832235,1036,355,131630
elmarianaa,16817381,206664,8213,4223224
Dr_alqarnee,16792413,6918,2033,870086
DalaiLama,16700379,81808,23402,5207206
StephenAtHome,16646624,0,0,0
Pontifex_es,16642263,159427,29941,1927879
ESPNFC,16631461,148310,8690,3984574
LeoDiCaprio,16629546,2616,534,585534
